"idEmplacement";"description";"largeurPied";"poidsMax";"usine_idUsine";"zone_idZone";"rack_idRack"
1;"Rack M1";300;3000;1;1;1
2;"Rack M2";200;2000;1;1;2
3;"Rack M3";0;0;1;1;3
4;"Rack M4";0;0;1;1;4
5;"Rack M5";0;0;1;1;5
6;"Rack M6";0;0;1;1;6
21;"Rack M7";0;0;1;1;7
22;"Rack M8";0;0;1;1;8
23;"Rack M9";0;0;1;1;9
24;"Rack M10";0;0;1;1;10
25;"Rack M11";0;0;1;1;11
26;"Rack M12";0;0;1;1;12
27;"Rack M13";0;0;1;1;13
28;"Rack M14";0;0;1;1;14
29;"Rack M15";0;0;1;1;15
30;"Rack M16";0;0;1;1;16
31;"Rack M17";0;0;1;1;17
32;"Rack M18";0;0;1;1;18
33;"Rack M19";0;0;1;1;19
34;"Rack M20";0;0;1;1;20
38;"Rack R2";0;0;1;1;21
39;"Rack R3";0;0;1;1;22
40;"Rack R4";0;0;1;1;23
41;"Rack R5";0;0;1;1;24
42;"Rack R6";0;0;1;1;25
43;"Rack R7";0;0;1;1;26
44;"Rack R8";0;0;1;1;27
45;"Rack R10";0;0;1;1;28
46;"Rack R11";0;0;1;1;29
47;"Rack R12";0;0;1;1;30
48;"Rack R13";0;0;1;1;31
49;"Rack R14";0;0;1;1;32
50;"Rack R15";0;0;1;1;33
51;"Rack R16";0;0;1;1;34
52;"Rack R17";0;0;1;1;35
53;"Rack R18";0;0;1;1;36
54;"Rack R19";0;0;1;1;37
55;"Rack R20";0;0;1;1;38
56;"Rack R21";0;0;1;1;39
57;"Rack R22";0;0;1;1;40
58;"Rack R23";0;0;1;1;42
59;"Rack R24";0;0;1;1;43
60;"Rack R25";0;0;1;1;44
61;"Rack R26";0;0;1;1;45
62;"Rack R27";0;0;1;1;46
63;"Rack R28";0;0;1;1;47
64;"T1";0;0;1;1;48
65;"T2";0;0;1;1;49
66;"T3";0;0;1;1;50
67;"T4";0;0;1;1;51
68;"T5";0;0;1;1;52
69;"T6";0;0;1;1;53
70;"T7";0;0;1;1;54
71;"T8";0;0;1;1;55
72;"T9";0;0;1;1;56
73;"T10";0;0;1;1;57
